20200603,1646,1669
20200602,1658,1681
20200601,1659,1682
20200529,1647,1670
20200528,1648,1671
20200527,1634,1657
20200526,1652,1675
20200525,1655,1678
20200522,1659,1682
20200521,1657,1680
20200520,1668,1691
20200519,1647,1670
20200518,1680,1703
20200515,1653,1676
20200514,1634,1657
20200513,1623,1645
20200512,1621,1644
20200511,1622,1645
20200508,1634,1656
20200507,1612,1635
20200506,1623,1646
20200505,1612,1635
20200504,1624,1647
20200430,1628,1651
20200429,1628,1650
20200428,1627,1649
20200427,1642,1664
20200424,1654,1677
20200423,1641,1663
20200422,1622,1644
20200421,1624,1647
20200420,1605,1627
20200417,1625,1647
20200416,1651,1673
20200415,1636,1658
20200414,1638,1660
20200413,1620,1641
20200410,1614,1637
20200409,1589,1610
20200408,1583,1604
20200407,1593,1614
20200406,1564,1585
20200401,1536,1558
20200331,1555,1577
20200330,1557,1579
20200327,1561,1585
20200326,1543,1567
20200325,1552,1576
20200324,1528,1547
20200323,1443,1461
20200320,1447,1465
20200319,1445,1463
20200318,1462,1480
20200317,1437,1455
20200316,1481,1499
20200313,1531,1550
20200312,1573,1593
20200311,1596,1616
20200310,1593,1613
20200309,1612,1632
20200306,1597,1617
20200305,1567,1586
20200304,1564,1583
20200303,1530,1549
20200302,1539,1558
